Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_SPST","SW_SPST_TL3342",394.243750,-102.750000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",384.980327,-107.263423,-90.000000,bottom
"C2","10uF","C_0603_1608Metric",369.743750,-100.250000,90.000000,bottom
"C3","100nF","C_0402_1005Metric",372.743750,-101.500000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",372.993750,-110.250000,180.000000,bottom
"C5","100nF","C_0402_1005Metric",381.493750,-101.250000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",382.993750,-101.750000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",383.730327,-107.263423,90.000000,bottom
"C8","100nF","C_0402_1005Metric",362.743750,-102.750000,180.000000,bottom
"C9","1uF","C_0402_1005Metric",365.993750,-104.250000,180.000000,bottom
"C10","1uF","C_0402_1005Metric",369.493750,-103.000000,-90.000000,bottom
"D1","D_Small","D_SOD-123",47.600000,-42.650000,90.000000,bottom
"D2","D_Small","D_SOD-123",76.175000,-42.650000,90.000000,bottom
"D3","D_Small","D_SOD-123",114.275000,-42.650000,90.000000,bottom
"D4","D_Small","D_SOD-123",133.325000,-42.650000,90.000000,bottom
"D5","D_Small","D_SOD-123",152.375000,-42.650000,90.000000,bottom
"D6","D_Small","D_SOD-123",171.425000,-42.650000,90.000000,bottom
"D7","D_Small","D_SOD-123",200.000000,-42.650000,90.000000,bottom
"D8","D_Small","D_SOD-123",219.050000,-42.650000,90.000000,bottom
"D9","D_Small","D_SOD-123",238.100000,-42.650000,90.000000,bottom
"D10","D_Small","D_SOD-123",257.150000,-42.650000,90.000000,bottom
"D11","D_Small","D_SOD-123",285.725000,-42.650000,90.000000,bottom
"D12","D_Small","D_SOD-123",304.775000,-42.650000,90.000000,bottom
"D13","D_Small","D_SOD-123",323.825000,-42.650000,90.000000,bottom
"D14","D_Small","D_SOD-123",342.875000,-42.650000,90.000000,bottom
"D15","D_Small","D_SOD-123",366.687500,-42.650000,90.000000,bottom
"D16","D_Small","D_SOD-123",385.737500,-42.650000,90.000000,bottom
"D17","D_Small","D_SOD-123",404.787500,-42.650000,90.000000,bottom
"D18","D_Small","D_SOD-123",47.600000,-63.605000,90.000000,bottom
"D19","D_Small","D_SOD-123",76.175000,-71.225000,90.000000,bottom
"D20","D_Small","D_SOD-123",95.225000,-71.225000,90.000000,bottom
"D21","D_Small","D_SOD-123",114.275000,-71.225000,90.000000,bottom
"D22","D_Small","D_SOD-123",133.325000,-71.225000,90.000000,bottom
"D23","D_Small","D_SOD-123",152.375000,-71.225000,90.000000,bottom
"D24","D_Small","D_SOD-123",171.425000,-71.225000,90.000000,bottom
"D25","D_Small","D_SOD-123",190.475000,-71.225000,90.000000,bottom
"D26","D_Small","D_SOD-123",209.525000,-71.225000,90.000000,bottom
"D27","D_Small","D_SOD-123",228.575000,-71.225000,90.000000,bottom
"D28","D_Small","D_SOD-123",247.625000,-71.225000,90.000000,bottom
"D29","D_Small","D_SOD-123",266.675000,-71.225000,90.000000,bottom
"D30","D_Small","D_SOD-123",285.725000,-71.225000,90.000000,bottom
"D31","D_Small","D_SOD-123",304.775000,-71.225000,90.000000,bottom
"D32","D_Small","D_SOD-123",333.350000,-71.225000,90.000000,bottom
"D33","D_Small","D_SOD-123",366.687500,-71.225000,90.000000,bottom
"D34","D_Small","D_SOD-123",385.737500,-71.225000,90.000000,bottom
"D35","D_Small","D_SOD-123",404.787500,-71.225000,90.000000,bottom
"D36","D_Small","D_SOD-123",428.600000,-71.225000,90.000000,bottom
"D37","D_Small","D_SOD-123",447.650000,-71.225000,90.000000,bottom
"D38","D_Small","D_SOD-123",466.700000,-71.225000,90.000000,bottom
"D39","D_Small","D_SOD-123",476.300000,-78.825000,90.000000,bottom
"D40","D_Small","D_SOD-123",47.600000,-84.560000,90.000000,bottom
"D41","D_Small","D_SOD-123",80.937500,-90.275000,90.000000,bottom
"D42","D_Small","D_SOD-123",104.750000,-90.275000,90.000000,bottom
"D43","D_Small","D_SOD-123",123.800000,-90.275000,90.000000,bottom
"D44","D_Small","D_SOD-123",142.850000,-90.275000,90.000000,bottom
"D45","D_Small","D_SOD-123",161.900000,-90.275000,90.000000,bottom
"D46","D_Small","D_SOD-123",180.950000,-90.275000,90.000000,bottom
"D47","D_Small","D_SOD-123",200.000000,-90.275000,90.000000,bottom
"D48","D_Small","D_SOD-123",219.050000,-90.275000,90.000000,bottom
"D49","D_Small","D_SOD-123",238.100000,-90.275000,90.000000,bottom
"D50","D_Small","D_SOD-123",257.150000,-90.275000,90.000000,bottom
"D51","D_Small","D_SOD-123",276.200000,-90.275000,90.000000,bottom
"D52","D_Small","D_SOD-123",295.250000,-90.275000,90.000000,bottom
"D53","D_Small","D_SOD-123",314.300000,-90.275000,90.000000,bottom
"D54","D_Small","D_SOD-123",338.112500,-90.275000,90.000000,bottom
"D55","D_Small","D_SOD-123",366.687500,-90.275000,90.000000,bottom
"D56","D_Small","D_SOD-123",385.737500,-90.275000,90.000000,bottom
"D57","D_Small","D_SOD-123",404.787500,-90.275000,90.000000,bottom
"D58","D_Small","D_SOD-123",428.600000,-90.275000,90.000000,bottom
"D59","D_Small","D_SOD-123",447.650000,-90.275000,90.000000,bottom
"D60","D_Small","D_SOD-123",466.700000,-90.275000,90.000000,bottom
"D61","D_Small","D_SOD-123",476.300000,-107.400000,90.000000,bottom
"D62","D_Small","D_SOD-123",47.600000,-105.515000,90.000000,bottom
"D63","D_Small","D_SOD-123",83.318750,-109.325000,90.000000,bottom
"D64","D_Small","D_SOD-123",109.512500,-109.325000,90.000000,bottom
"D65","D_Small","D_SOD-123",128.562500,-109.325000,90.000000,bottom
"D66","D_Small","D_SOD-123",147.612500,-109.325000,90.000000,bottom
"D67","D_Small","D_SOD-123",166.662500,-109.325000,90.000000,bottom
"D68","D_Small","D_SOD-123",185.712500,-109.325000,90.000000,bottom
"D69","D_Small","D_SOD-123",204.762500,-109.325000,90.000000,bottom
"D70","D_Small","D_SOD-123",223.812500,-109.325000,90.000000,bottom
"D71","D_Small","D_SOD-123",242.862500,-109.325000,90.000000,bottom
"D72","D_Small","D_SOD-123",261.912500,-109.325000,90.000000,bottom
"D73","D_Small","D_SOD-123",280.962500,-109.325000,90.000000,bottom
"D74","D_Small","D_SOD-123",300.012500,-109.325000,90.000000,bottom
"D75","D_Small","D_SOD-123",329.700000,-109.325000,90.000000,bottom
"D76","D_Small","D_SOD-123",428.600000,-109.325000,90.000000,bottom
"D77","D_Small","D_SOD-123",447.650000,-109.325000,90.000000,bottom
"D78","D_Small","D_SOD-123",464.100000,-109.325000,90.000000,bottom
"D79","D_Small","D_SOD-123",47.600000,-126.470000,90.000000,bottom
"D80","D_Small","D_SOD-123",88.081250,-128.375000,90.000000,bottom
"D81","D_Small","D_SOD-123",119.037500,-128.375000,90.000000,bottom
"D82","D_Small","D_SOD-123",138.087500,-128.375000,90.000000,bottom
"D83","D_Small","D_SOD-123",157.137500,-128.375000,90.000000,bottom
"D84","D_Small","D_SOD-123",176.187500,-128.375000,90.000000,bottom
"D85","D_Small","D_SOD-123",195.237500,-128.375000,90.000000,bottom
"D86","D_Small","D_SOD-123",214.287500,-128.375000,90.000000,bottom
"D87","D_Small","D_SOD-123",233.337500,-128.375000,90.000000,bottom
"D88","D_Small","D_SOD-123",252.387500,-128.375000,90.000000,bottom
"D89","D_Small","D_SOD-123",271.437500,-128.375000,90.000000,bottom
"D90","D_Small","D_SOD-123",290.487500,-128.375000,90.000000,bottom
"D91","D_Small","D_SOD-123",324.900000,-128.375000,90.000000,bottom
"D92","D_Small","D_SOD-123",385.737500,-128.375000,90.000000,bottom
"D93","D_Small","D_SOD-123",428.600000,-128.375000,90.000000,bottom
"D94","D_Small","D_SOD-123",447.650000,-128.375000,90.000000,bottom
"D95","D_Small","D_SOD-123",466.700000,-128.375000,90.000000,bottom
"D96","D_Small","D_SOD-123",476.300000,-145.500000,90.000000,bottom
"D97","D_Small","D_SOD-123",47.600000,-147.425000,90.000000,bottom
"D98","D_Small","D_SOD-123",78.556250,-147.425000,90.000000,bottom
"D99","D_Small","D_SOD-123",102.368750,-147.425000,90.000000,bottom
"D100","D_Small","D_SOD-123",126.181250,-147.425000,90.000000,bottom
"D101","D_Small","D_SOD-123",197.618750,-147.425000,90.000000,bottom
"D102","D_Small","D_SOD-123",269.056250,-147.425000,90.000000,bottom
"D103","D_Small","D_SOD-123",292.868750,-147.425000,90.000000,bottom
"D104","D_Small","D_SOD-123",316.681250,-147.425000,90.000000,bottom
"D105","D_Small","D_SOD-123",340.493750,-147.425000,90.000000,bottom
"D106","D_Small","D_SOD-123",366.687500,-147.425000,90.000000,bottom
"D107","D_Small","D_SOD-123",385.737500,-147.425000,90.000000,bottom
"D108","D_Small","D_SOD-123",404.787500,-147.425000,90.000000,bottom
"D109","D_Small","D_SOD-123",436.900000,-147.425000,90.000000,bottom
"D110","D_Small","D_SOD-123",464.100000,-147.425000,90.000000,bottom
"D111","D_Small","D_SOD-123",421.700000,-47.700000,90.000000,bottom
"D112","D_Small","D_SOD-123",459.700000,-47.700000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",363.743750,-105.750000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",261.900000,-31.500000,0.000000,bottom
"LED1","MX_SK6812MINI-E","LED_MX_6028R",38.100000,-43.180000,180.000000,bottom
"LED2","MX_SK6812MINI-E","LED_MX_6028R",66.675000,-43.180000,180.000000,bottom
"LED3","MX_SK6812MINI-E","LED_MX_6028R",104.775000,-43.180000,180.000000,bottom
"LED4","MX_SK6812MINI-E","LED_MX_6028R",123.825000,-43.180000,180.000000,bottom
"LED5","MX_SK6812MINI-E","LED_MX_6028R",142.875000,-43.180000,180.000000,bottom
"LED6","MX_SK6812MINI-E","LED_MX_6028R",161.925000,-43.180000,180.000000,bottom
"LED7","MX_SK6812MINI-E","LED_MX_6028R",190.500000,-43.180000,180.000000,bottom
"LED8","MX_SK6812MINI-E","LED_MX_6028R",209.550000,-43.180000,180.000000,bottom
"LED9","MX_SK6812MINI-E","LED_MX_6028R",228.600000,-43.180000,180.000000,bottom
"LED10","MX_SK6812MINI-E","LED_MX_6028R",247.650000,-43.180000,180.000000,bottom
"LED11","MX_SK6812MINI-E","LED_MX_6028R",276.225000,-43.180000,180.000000,bottom
"LED12","MX_SK6812MINI-E","LED_MX_6028R",295.275000,-43.180000,180.000000,bottom
"LED13","MX_SK6812MINI-E","LED_MX_6028R",314.325000,-43.180000,180.000000,bottom
"LED14","MX_SK6812MINI-E","LED_MX_6028R",333.375000,-43.180000,180.000000,bottom
"LED15","MX_SK6812MINI-E","LED_MX_6028R",357.187500,-43.180000,180.000000,bottom
"LED16","MX_SK6812MINI-E","LED_MX_6028R",376.237500,-43.180000,180.000000,bottom
"LED17","MX_SK6812MINI-E","LED_MX_6028R",395.287500,-43.180000,180.000000,bottom
"LED18","MX_SK6812MINI-E","LED_MX_6028R",38.100000,-64.135000,180.000000,bottom
"LED19","MX_SK6812MINI-E","LED_MX_6028R",66.675000,-71.755000,180.000000,bottom
"LED20","MX_SK6812MINI-E","LED_MX_6028R",85.725000,-71.755000,180.000000,bottom
"LED21","MX_SK6812MINI-E","LED_MX_6028R",104.775000,-71.755000,180.000000,bottom
"LED22","MX_SK6812MINI-E","LED_MX_6028R",123.825000,-71.755000,180.000000,bottom
"LED23","MX_SK6812MINI-E","LED_MX_6028R",142.875000,-71.755000,180.000000,bottom
"LED24","MX_SK6812MINI-E","LED_MX_6028R",161.925000,-71.755000,180.000000,bottom
"LED25","MX_SK6812MINI-E","LED_MX_6028R",180.975000,-71.755000,180.000000,bottom
"LED26","MX_SK6812MINI-E","LED_MX_6028R",200.025000,-71.755000,180.000000,bottom
"LED27","MX_SK6812MINI-E","LED_MX_6028R",219.075000,-71.755000,180.000000,bottom
"LED28","MX_SK6812MINI-E","LED_MX_6028R",238.125000,-71.755000,180.000000,bottom
"LED29","MX_SK6812MINI-E","LED_MX_6028R",257.175000,-71.755000,180.000000,bottom
"LED30","MX_SK6812MINI-E","LED_MX_6028R",276.225000,-71.755000,180.000000,bottom
"LED31","MX_SK6812MINI-E","LED_MX_6028R",295.275000,-71.755000,180.000000,bottom
"LED32","MX_SK6812MINI-E","LED_MX_6028R",323.850000,-71.755000,180.000000,bottom
"LED33","MX_SK6812MINI-E","LED_MX_6028R",357.187500,-71.755000,180.000000,bottom
"LED34","MX_SK6812MINI-E","LED_MX_6028R",376.237500,-71.755000,180.000000,bottom
"LED35","MX_SK6812MINI-E","LED_MX_6028R",395.287500,-71.755000,180.000000,bottom
"LED36","MX_SK6812MINI-E","LED_MX_6028R",419.100000,-71.755000,180.000000,bottom
"LED37","MX_SK6812MINI-E","LED_MX_6028R",438.150000,-71.755000,180.000000,bottom
"LED38","MX_SK6812MINI-E","LED_MX_6028R",457.200000,-71.755000,180.000000,bottom
"LED39","MX_SK6812MINI-E","LED_MX_6028R",476.250000,-71.755000,180.000000,bottom
"LED40","MX_SK6812MINI-E","LED_MX_6028R",38.100000,-85.090000,180.000000,bottom
"LED41","MX_SK6812MINI-E","LED_MX_6028R",71.437500,-90.805000,180.000000,bottom
"LED42","MX_SK6812MINI-E","LED_MX_6028R",95.250000,-90.805000,180.000000,bottom
"LED43","MX_SK6812MINI-E","LED_MX_6028R",114.300000,-90.805000,180.000000,bottom
"LED44","MX_SK6812MINI-E","LED_MX_6028R",133.350000,-90.805000,180.000000,bottom
"LED45","MX_SK6812MINI-E","LED_MX_6028R",152.400000,-90.805000,180.000000,bottom
"LED46","MX_SK6812MINI-E","LED_MX_6028R",171.450000,-90.805000,180.000000,bottom
"LED47","MX_SK6812MINI-E","LED_MX_6028R",190.500000,-90.805000,180.000000,bottom
"LED48","MX_SK6812MINI-E","LED_MX_6028R",209.550000,-90.805000,180.000000,bottom
"LED49","MX_SK6812MINI-E","LED_MX_6028R",228.600000,-90.805000,180.000000,bottom
"LED50","MX_SK6812MINI-E","LED_MX_6028R",247.650000,-90.805000,180.000000,bottom
"LED51","MX_SK6812MINI-E","LED_MX_6028R",266.700000,-90.805000,180.000000,bottom
"LED52","MX_SK6812MINI-E","LED_MX_6028R",285.750000,-90.805000,180.000000,bottom
"LED53","MX_SK6812MINI-E","LED_MX_6028R",304.800000,-90.805000,180.000000,bottom
"LED54","MX_SK6812MINI-E","LED_MX_6028R",328.612500,-90.805000,180.000000,bottom
"LED55","MX_SK6812MINI-E","LED_MX_6028R",357.187500,-90.805000,180.000000,bottom
"LED56","MX_SK6812MINI-E","LED_MX_6028R",376.237500,-90.805000,180.000000,bottom
"LED57","MX_SK6812MINI-E","LED_MX_6028R",395.287500,-90.805000,180.000000,bottom
"LED58","MX_SK6812MINI-E","LED_MX_6028R",419.100000,-90.805000,180.000000,bottom
"LED59","MX_SK6812MINI-E","LED_MX_6028R",438.150000,-90.805000,180.000000,bottom
"LED60","MX_SK6812MINI-E","LED_MX_6028R",457.200000,-90.805000,180.000000,bottom
"LED61","MX_SK6812MINI-E","LED_MX_6028R",476.250000,-100.330000,180.000000,bottom
"LED62","MX_SK6812MINI-E","LED_MX_6028R",38.100000,-106.045000,180.000000,bottom
"LED63","MX_SK6812MINI-E","LED_MX_6028R",73.818750,-109.855000,180.000000,bottom
"LED64","MX_SK6812MINI-E","LED_MX_6028R",100.012500,-109.855000,180.000000,bottom
